i,Xq_low0,Xq_low1,Xq_high0,Xq_high1,mesh_size,alpha_RA,beta_RA,m_lb,eps_reclaimed,verecycle_time_s,formula_absdiff
0,-8.609491348266602,-1.6392425298690796,-6.60949182510376,-0.6392425298690796,0.005,1.8364840745925903,37.79972839355469,1.2325457334518433,0.0,0.2135892000005697,0.0
1,-8.177892684936523,-2.320467233657837,-6.177893161773682,-1.320467233657837,0.005,1.8364840745925903,37.79972839355469,2.9841766357421875,0.3845927038645811,0.2742405000026338,0.0
2,-9.610761642456055,-1.9164235591888428,-7.610761642456055,-0.9164235591888428,0.005,1.8364840745925903,37.79972839355469,2.7796096801757812,0.3393014538370539,0.19299260000116192,0.0
3,-9.49930191040039,-0.9329079985618591,-7.499301910400391,0.06709200143814087,0.005,1.8364840745925903,37.79972839355469,0.6664190888404846,0.0,0.22442950000186102,0.0
4,-5.290698051452637,-2.966233968734741,-3.2906980514526367,-1.9662339687347412,0.005,1.8364840745925903,37.79972839355469,2.948561668395996,0.3771593471227518,0.22953969999798574,0.0
5,-6.666199684143066,-2.384420394897461,-4.666199684143066,-1.3844202756881714,0.005,1.8364840745925903,37.79972839355469,1.8380533456802368,0.000853767977591402,0.23207719999845722,0.0
6,-8.455643653869629,-0.7976134419441223,-6.455643653869629,0.20238655805587769,0.005,1.8364840745925903,37.79972839355469,0.4013247489929199,0.0,0.23998389999906067,0.0
7,-12.431711196899414,-4.151482582092285,-10.431711196899414,-3.1514828205108643,0.005,1.8364840745925903,37.79972839355469,26.493776321411133,0.9306824345343165,0.2214444999990519,0.0
8,-12.838253021240234,-1.169520616531372,-10.838253021240234,-0.16952061653137207,0.005,1.8364840745925903,37.79972839355469,2.9550070762634277,0.3785178758641745,0.21291470000142,0.0
9,-6.774745941162109,-1.019951343536377,-4.774745941162109,-0.01995140314102173,0.005,1.8364840745925903,37.79972839355469,0.26905861496925354,0.0,0.21818209999764804,0.0
10,-5.171053409576416,-1.303365707397461,-3.171053409576416,-0.3033657670021057,0.005,1.8364840745925903,37.79972839355469,0.19999520480632782,0.0,0.2359667000018817,0.0
11,-9.308165550231934,-1.3778833150863647,-7.308165550231934,-0.37788331508636475,0.005,1.8364840745925903,37.79972839355469,1.1160715818405151,0.0,0.20523339999999735,0.0
12,-12.053804397583008,-1.9403159618377686,-10.053804397583008,-0.9403159618377686,0.005,1.8364840745925903,37.79972839355469,5.68787145614624,0.6771227885946491,0.21394490000238875,0.0
13,-11.85317325592041,-0.7213243246078491,-9.85317325592041,0.2786756753921509,0.005,1.8364840745925903,37.79972839355469,1.2109872102737427,0.0,0.22976079999716603,0.0
14,-8.825213432312012,-2.8413522243499756,-6.825213432312012,-1.8413522243499756,0.005,1.8364840745925903,37.79972839355469,6.711387634277344,0.7263629856196891,0.21476350000011735,0.0
15,-10.88355541229248,-1.4030652046203613,-8.88355541229248,-0.4030652642250061,0.005,1.8364840745925903,37.79972839355469,2.1294946670532227,0.13759630253786825,0.20845740000004298,0.0
16,-9.350797653198242,-2.226264238357544,-7.350797653198242,-1.226264238357544,0.005,1.8364840745925903,37.79972839355469,3.8473334312438965,0.5226605368594659,0.2311888000003819,0.0
17,-12.849681854248047,-2.0294580459594727,-10.849681854248047,-1.0294580459594727,0.005,1.8364840745925903,37.79972839355469,7.371193885803223,0.7508566314976977,0.20510339999964344,0.0
18,-8.10323429107666,-2.032263994216919,-6.10323429107666,-1.032263994216919,0.005,1.8364840745925903,37.79972839355469,1.8664772510528564,0.01606940370869636,0.21963529999993625,0.0
19,-5.450015544891357,-1.7727187871932983,-3.4500155448913574,-0.7727187871932983,0.005,1.8364840745925903,37.79972839355469,0.36178427934646606,0.0,0.21125240000037593,0.0
