"scenario_name","scenario_family","description","change_type","diffusion_scale","drift_bias_0","drift_bias_1","xq_low_0","xq_low_1","xq_high_0","xq_high_1","alpha_ra","beta_ra","beta_ra_actual","original_bound_target","original_bound","original_modified_verified","original_modified_status","original_modified_verification_mode","original_modified_note","original_modified_verify_time_s","original_modified_prob_ra_estimate","original_modified_prob_s_estimate","original_modified_decrease_violations","m_lb_ibp","m_grid_min_raw","m_grid_argmin_0","m_grid_argmin_1","verecycle_bound","verecycle_time_s","recert_bound","recert_posthoc_estimate","recert_posthoc_bound","recert_alpha_ra","recert_beta_ra","recert_certified_epoch","recert_time_s","recert_status","recert_note","recert_raw_result","recert_bound_note","recert_outcome","method_comparison","runtime_ratio_recert_over_verecycle","speedup"
"absorbing_central_bridge","absorbing","Absorbing region in the central corridor between initial and target regions.","absorbing","1.0","0.0","0.0","1.5","1.0","4.5","2.5999999046325684","1.8103210926055908","18.10321092605591","37.94944381713867","0.9","0.9522965052840111","False","completed","exact_absorbing_cell_split","exact absorbing semantics checked by cell splitting","6.130533456802368","0.9483671988443921","0.909099608771835","3696","0.302844375371933","0.35041290521621704","1.5","1.0","0.0","0.008990049362182617","0.0","","0.0","","","-1","-1.0","unsupported","exact absorbing re-certification is not implemented in this script; only the original-certificate verifier handles exact absorbing semantics","","unsupported exact absorbing case: the reported re-certification bound is 0 because no verified re-certification result is available","unsupported","neither","",""
"absorbing_scenario_B_target_trap","absorbing","Scenario B: absorbing region near the target approach.","absorbing","1.0","0.0","0.0","2.5","0.800000011920929","5.5","2.0","1.8103210926055908","18.10321092605591","37.94944381713867","0.9","0.9522965052840111","False","completed","exact_absorbing_cell_split","exact absorbing semantics checked by cell splitting","7.083995819091797","0.9483671988443921","0.909099608771835","3042","0.3168066740036011","0.3748267590999603","2.5","0.800000011920929","0.0","0.03900408744812012","0.0","","0.0","","","-1","-1.0","unsupported","exact absorbing re-certification is not implemented in this script; only the original-certificate verifier handles exact absorbing semantics","","unsupported exact absorbing case: the reported re-certification bound is 0 because no verified re-certification result is available","unsupported","neither","",""
"absorbing_scenario_A_init_trap","absorbing","Scenario A: absorbing region close to the initial set.","absorbing","1.0","0.0","0.0","-1.5","2.0","1.5","3.4000000953674316","1.8103210926055908","18.10321092605591","37.94944381713867","0.9","0.9522965052840111","False","completed","exact_absorbing_cell_split","exact absorbing semantics checked by cell splitting","7.056437253952026","0.9483671988443921","0.909099608771835","3600","0.5035691261291504","0.5441932082176208","-1.5","2.0","0.0","0.4319911003112793","0.0","","0.0","","","-1","-1.0","unsupported","exact absorbing re-certification is not implemented in this script; only the original-certificate verifier handles exact absorbing semantics","","unsupported exact absorbing case: the reported re-certification bound is 0 because no verified re-certification result is available","unsupported","neither","",""
"low_reclaim_diff_1p5","diffusion","Low but nonzero reclaim region with stronger local diffusion.","diffusion_scale","1.5","0.0","0.0","4.0","2.0","7.0","3.5","1.8103210926055908","18.10321092605591","37.94944381713867","0.9","0.9522965052840111","True","completed","modified_dynamics_ibp","","7.876001834869385","0.9483671988443921","0.909099608771835","0","2.4799606800079346","2.6413915157318115","4.0","2.0","0.2700202437887851","0.008003473281860352","0.9","0.9599577934581413","0.9599577934581413","1.5369784832000732","38.38396072387695","1999","69.98607134819031","certified","","(True, 1999)","reported re-certification bound is the target reach-avoid probability verified by certificate.train(); sampled certificate-level ratios are stored only as diagnostics","certified","both_work","8744.462420685752","8744.462420685752"
"absorbing_low_reclaim_region","absorbing","Absorbing version of the low-reclaim region.","absorbing","1.0","0.0","0.0","4.0","2.0","7.0","3.5","1.8103210926055908","18.10321092605591","37.94944381713867","0.9","0.9522965052840111","False","completed","exact_absorbing_cell_split","exact absorbing semantics checked by cell splitting","5.485993385314941","0.9483671988443921","0.909099608771835","4704","2.4799606800079346","2.6413915157318115","4.0","2.0","0.2700202437887851","0.3609907627105713","0.0","","0.0","","","-1","-1.0","unsupported","exact absorbing re-certification is not implemented in this script; only the original-certificate verifier handles exact absorbing semantics","","unsupported exact absorbing case: the reported re-certification bound is 0 because no verified re-certification result is available","unsupported","verecycle_only","",""
"borderline_diff_2p0","diffusion","Borderline reclaimable case with strong diffusion increase.","diffusion_scale","2.0","0.0","0.0","4.5","2.0999999046325684","6.0","3.0","1.8103210926055908","18.10321092605591","37.94944381713867","0.9","0.9522965052840111","True","completed","modified_dynamics_ibp","","7.394008636474609","0.9483671988443921","0.909099608771835","0","3.680790662765503","3.8523755073547363","4.5","2.0999999046325684","0.5081705920093171","0.14099693298339844","0.9","0.9599577934581413","0.9599577934581413","1.5369784832000732","38.38396072387695","1999","60.35866951942444","certified","","(True, 1999)","reported re-certification bound is the target reach-avoid probability verified by certificate.train(); sampled certificate-level ratios are stored only as diagnostics","certified","both_work","428.08498200830593","428.08498200830593"
"mid_band_drift_mild","drift","Mid-band drift degradation to complement diffusion-only changes.","drift_bias","1.0","-0.8","-0.4","5.0","2.0","8.0","3.5","1.8103210926055908","18.10321092605591","37.94944381713867","0.9","0.9522965052840111","True","completed","modified_dynamics_ibp","","7.679991006851196","0.9483671988443921","0.909099608771835","0","4.718139171600342","4.899503231048584","5.0","2.0","0.6163061268937624","0.3459937572479248","0.9","0.9599577934581413","0.9599577934581413","1.5369784832000732","38.38396072387695","1999","58.918182134628296","certified","","(True, 1999)","reported re-certification bound is the target reach-avoid probability verified by certificate.train(); sampled certificate-level ratios are stored only as diagnostics","certified","both_work","170.28683581828318","170.28683581828318"
"mid_transition_diff_2p0","diffusion","Intermediate reclaim case in a transition region.","diffusion_scale","2.0","0.0","0.0","7.0","2.0","8.0","3.0","1.8103210926055908","18.10321092605591","37.94944381713867","0.9","0.9522965052840111","True","completed","modified_dynamics_ibp","","8.893987655639648","0.9483671988443921","0.909099608771835","0","12.25831413269043","12.440361022949219","7.0","2.0","0.8523189181636459","0.2590031623840332","0.9","0.9599577934581413","0.9599577934581413","1.5369784832000732","38.38396072387695","1999","50.133293867111206","certified","","(True, 1999)","reported re-certification bound is the target reach-avoid probability verified by certificate.train(); sampled certificate-level ratios are stored only as diagnostics","certified","both_work","193.56247779236296","193.56247779236296"
"absorbing_mid_transition_region","absorbing","Absorbing version of the mid-transition region.","absorbing","1.0","0.0","0.0","7.0","2.0","8.0","3.0","1.8103210926055908","18.10321092605591","37.94944381713867","0.9","0.9522965052840111","False","completed","exact_absorbing_cell_split","exact absorbing semantics checked by cell splitting","5.746415376663208","0.9483671988443921","0.909099608771835","876","12.25831413269043","12.440361022949219","7.0","2.0","0.8523189181636459","0.24399995803833008","0.0","","0.0","","","-1","-1.0","unsupported","exact absorbing re-certification is not implemented in this script; only the original-certificate verifier handles exact absorbing semantics","","unsupported exact absorbing case: the reported re-certification bound is 0 because no verified re-certification result is available","unsupported","verecycle_only","",""
"right_corridor_drift_strong","drift","Large drift-degraded corridor intended to be visited more often.","drift_bias","1.0","-1.5","-0.8","7.5","2.0","10.5","4.0","1.8103210926055908","18.10321092605591","37.94944381713867","0.9","0.9522965052840111","True","completed","modified_dynamics_ibp","","8.826993465423584","0.9483671988443921","0.909099608771835","0","14.567907333374023","14.743669509887695","7.5","2.0","0.8757322482098526","0.16099929809570312","0.9","0.9599577934581413","0.9599577934581413","1.5369784832000732","38.38396072387695","1999","55.41297912597656","certified","","(True, 1999)","reported re-certification bound is the target reach-avoid probability verified by certificate.train(); sampled certificate-level ratios are stored only as diagnostics","certified","both_work","344.18149508352093","344.18149508352093"
